"","FID","publicid","origintime","longitude","latitude","depth","magnitude","magnitudetype","status","phases","type","agency","updatetime","origin_geom","Energy","Date","Time"
"23","quake.2013p826460","2013p826460","2013-11-02T18:54:04.757",-171.5359,-21.2696,12,5.8249,"mB","reviewed",76,"outside of network interest","WEL(GNS_Primary)","2013-11-02T20:14:16.69","POINT (-21.269638 -171.53587)",0.668190043410554,2013-11-02,"18:54:04.757"
"24","quake.2013p824165","2013p824165","2013-11-01T22:34:58.738",178.916,-34.8926,309.4258,4.5879,"M","reviewed",48,"","WEL(GNS_Primary)","2013-11-02T05:54:29.54","POINT (-34.892578 178.91602)",0.0387168485818798,2013-11-01,"22:34:58.738"
"25","quake.2013p823758","2013p823758","2013-11-01T18:57:47.164",-177.8946,-34.377,12,4.6064,"M","reviewed",88,"","WEL(GNS_Primary)","2013-11-01T21:28:06.32","POINT (-34.376999 -177.89465)",0.0404017335373,2013-11-01,"18:57:47.164"
"26","quake.2013p820413","2013p820413","2013-10-31T13:15:19.218",-178.8977,-32.1297,373.3332,4.5608,"M","reviewed",61,"","WEL(GNS_Primary)","2013-10-31T19:02:45.187","POINT (-32.129742 -178.89769)",0.0363747485642633,2013-10-31,"13:15:19.218"
"27","quake.2013p817410","2013p817410","2013-10-30T10:35:23.767",-176.984,-31.6382,120.8961,4.5046,"M","reviewed",46,"","WEL(GNS_Primary)","2013-10-30T20:22:10.194","POINT (-31.638187 -176.98395)",0.0319595017481476,2013-10-30,"10:35:23.767"
"28","quake.2013p814459","2013p814459","2013-10-29T08:21:59.185",-174.7817,-28.0407,33,4.831,"M","reviewed",51,"","WEL(GNS_Primary)","2013-10-29T19:28:36.013","POINT (-28.04072 -174.78168)",0.0677641507610676,2013-10-29,"08:21:59.185"
"29","quake.2013p800396","2013p800396","2013-10-24T03:31:29.452",179.0478,-36.4653,109.0625,4.6198,"M","automatic",101,"","WEL(GNS_Primary)","2013-10-24T05:54:44.537","POINT (-36.465275 179.0478)",0.0416677452221909,2013-10-24,"03:31:29.452"
"30","quake.2013p800051","2013p800051","2013-10-24T00:25:45.031",-177.4978,-31.1312,33,5.231,"M","reviewed",81,"","WEL(GNS_Primary)","2013-10-24T00:59:35.331","POINT (-31.131159 -177.49785)",0.170215850839495,2013-10-24,"00:25:45.031"
"31","quake.2013p799696","2013p799696","2013-10-23T21:18:23.2",167.2188,-45.5499,72.7344,5.0001,"M","reviewed",28,"","WEL(GNS_Primary)","2013-10-23T21:30:51.654","POINT (-45.5499 167.21884)",0.100023028502082,2013-10-23,"21:18:23.2"
"32","quake.2013p798248","2013p798248","2013-10-23T08:23:46.789",-174.0866,-25.3779,258.8707,4.648,"M","reviewed",70,"","WEL(GNS_Primary)","2013-10-23T19:52:59.964","POINT (-25.377884 -174.08661)",0.0444631267469108,2013-10-23,"08:23:46.789"
"33","quake.2013p780567","2013p780567","2013-10-16T19:26:23.643",165.9229,-47.4144,13.1516,5.2214,"M","reviewed",29,"","WEL(GNS_Primary)","2013-10-16T20:03:58.586","POINT (-47.414368 165.92293)",0.166494541579528,2013-10-16,"19:26:23.643"
"34","quake.2013p775556","2013p775556","2013-10-14T22:56:17.279",167.886,-44.5522,6.7578,4.7294,"M","reviewed",37,"","WEL(GNS_Primary)","2013-10-14T23:05:28.752","POINT (-44.552167 167.88598)",0.0536290371800858,2013-10-14,"22:56:17.279"
"35","quake.2013p775249","2013p775249","2013-10-14T20:12:33.358",179.1365,-33.2096,33,4.69,"M","reviewed",17,"","WEL(GNS_Primary)","2013-10-14T22:01:21.273","POINT (-33.209579 179.13652)",0.0489778819368447,2013-10-14,"20:12:33.358"
"36","quake.2013p767374","2013p767374","2013-10-11T22:15:19.427",-179.2418,-30.4203,128.9706,4.9645,"M","reviewed",32,"","WEL(GNS_Primary)","2013-10-12T17:08:56.223","POINT (-30.420347 -179.24184)",0.0921509888734958,2013-10-11,"22:15:19.427"
"37","quake.2013p767278","2013p767278","2013-10-11T21:24:57.391",-177.1962,-31.3246,33,6.302,"Mw(mB)","reviewed",91,"","WEL(GNS_Primary)","2013-10-11T21:46:46.048","POINT (-31.324566 -177.19621)",2.00447202736516,2013-10-11,"21:24:57.391"
"38","quake.2013p746909","2013p746909","2013-10-04T08:31:55.045",-175.7711,-32.0559,96.7859,4.6575,"M","reviewed",62,"","WEL(GNS_Primary)","2013-10-04T08:51:18.232","POINT (-32.055946 -175.77113)",0.0454464537209509,2013-10-04,"08:31:55.045"
"39","quake.2013p739681","2013p739681","2013-10-01T16:22:32.919",174.3956,-41.5441,21.582,4.6694,"M","reviewed",24,"","WEL(GNS_Primary)","2013-10-01T16:29:17.54","POINT (-41.544054 174.39557)",0.0467089387482557,2013-10-01,"16:22:32.919"
"40","quake.2013p737471","2013p737471","2013-09-30T20:44:58.691",172.7787,-43.4986,5.5633,4.6482,"M","reviewed",29,"","WEL(GNS_Primary)","2013-09-30T21:09:24.621","POINT (-43.498592 172.7787)",0.0444836074889811,2013-09-30,"20:44:58.691"
"41","quake.2013p735802","2013p735802","2013-09-30T05:55:54.002",-176.6043,-31.6258,232.5077,5.765,"M","reviewed",26,"","WEL(GNS_Primary)","2013-09-30T06:06:45.452","POINT (-31.62579 -176.60434)",0.582103217770871,2013-09-30,"05:55:54.002"
"42","quake.2013p721586","2013p721586","2013-09-24T23:38:28.841",-173.6216,-26.0073,12,5.556,"M","reviewed",17,"outside of network interest","WEL(GNS_Primary)","2013-09-24T23:57:36.904","POINT (-26.007338 -173.6216)",0.359749335155742,2013-09-24,"23:38:28.841"
